instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,pctghum,windspeed,comfindex,casual,registered,cnt,simurevenue
1186,2011-02-22,1,0,2,10,0,2,1,1,0.16,0.1818,0.69,69%,0.0,0.11199999999999999,0,44,44,66.0
1187,2011-02-22,1,0,2,11,0,2,1,1,0.16,0.2273,0.64,64%,0.0,0.11199999999999999,7,43,50,92.5
1188,2011-02-22,1,0,2,12,0,2,1,1,0.2,0.2273,0.59,59%,0.1045,0.10865,7,48,55,100.0
1189,2011-02-22,1,0,2,13,0,2,1,1,0.22,0.2273,0.55,55%,0.1642,0.10474,3,52,55,90.0
1190,2011-02-22,1,0,2,14,0,2,1,1,0.22,0.2273,0.55,55%,0.194,0.0958,9,49,58,109.5
1191,2011-02-22,1,0,2,15,0,2,1,1,0.24,0.2273,0.48,48%,0.194,0.10979999999999998,2,67,69,108.5
1192,2011-02-22,1,0,2,16,0,2,1,1,0.22,0.2273,0.51,51%,0.1642,0.10474,7,79,86,146.5
1193,2011-02-22,1,0,2,17,0,2,1,1,0.22,0.2121,0.51,51%,0.2239,0.08683,8,188,196,314.0
1194,2011-02-22,1,0,2,18,0,2,1,1,0.22,0.2273,0.47,47%,0.1343,0.11371,6,161,167,265.5
1195,2011-02-22,1,0,2,19,0,2,1,1,0.2,0.1818,0.47,47%,0.2836,0.05491999999999998,4,114,118,187.0
1196,2011-02-22,1,0,2,20,0,2,1,1,0.2,0.197,0.47,47%,0.2239,0.07282999999999999,3,102,105,165.0
1197,2011-02-22,1,0,2,21,0,2,1,1,0.2,0.197,0.47,47%,0.2537,0.06388999999999999,2,80,82,128.0
1198,2011-02-22,1,0,2,22,0,2,1,1,0.16,0.1515,0.43,43%,0.2537,0.03588999999999999,1,76,77,118.0
1199,2011-02-22,1,0,2,23,0,2,1,1,0.16,0.1515,0.43,43%,0.2537,0.03588999999999999,3,18,21,39.0
1200,2011-02-23,1,0,2,0,0,3,1,1,0.14,0.1364,0.5,50%,0.194,0.0398,0,6,6,9.0
1201,2011-02-23,1,0,2,1,0,3,1,1,0.14,0.1515,0.46,46%,0.1642,0.04874,0,4,4,6.0
1202,2011-02-23,1,0,2,2,0,3,1,1,0.12,0.1515,0.5,50%,0.1343,0.04370999999999999,0,1,1,1.5
1203,2011-02-23,1,0,2,3,0,3,1,1,0.12,0.1364,0.5,50%,0.1642,0.034739999999999986,0,2,2,3.0
1204,2011-02-23,1,0,2,5,0,3,1,1,0.12,0.1515,0.5,50%,0.1045,0.052649999999999995,0,8,8,12.0
1205,2011-02-23,1,0,2,6,0,3,1,1,0.12,0.1515,0.5,50%,0.1045,0.052649999999999995,0,36,36,54.0
1206,2011-02-23,1,0,2,7,0,3,1,1,0.12,0.1515,0.54,54%,0.1343,0.04370999999999999,2,94,96,149.0
1207,2011-02-23,1,0,2,8,0,3,1,1,0.14,0.1515,0.54,54%,0.1642,0.04874,8,227,235,372.5
1208,2011-02-23,1,0,2,9,0,3,1,1,0.18,0.2121,0.51,51%,0.0896,0.09912,9,130,139,231.0
1209,2011-02-23,1,0,2,10,0,3,1,1,0.2,0.2576,0.4,40%,0.0,0.13999999999999999,4,47,51,86.5
1210,2011-02-23,1,0,2,11,0,3,1,1,0.24,0.2576,0.41,41%,0.1045,0.13665,16,53,69,143.5
1211,2011-02-23,1,0,2,12,0,3,1,1,0.26,0.2879,0.35,35%,0.0896,0.15512,11,56,67,128.0
1212,2011-02-23,1,0,2,13,0,3,1,1,0.3,0.3182,0.28,28%,0.0896,0.18312,9,78,87,153.0
1213,2011-02-23,1,0,2,14,0,3,1,1,0.32,0.3333,0.29,28%,0.1045,0.19265,17,61,78,159.5
1214,2011-02-23,1,0,2,15,0,3,1,1,0.34,0.3485,0.25,25%,0.0896,0.21112,18,54,72,153.0
1215,2011-02-23,1,0,2,16,0,3,1,1,0.34,0.3636,0.25,25%,0.0,0.238,15,79,94,178.5
1216,2011-02-23,1,0,2,17,0,3,1,1,0.34,0.3485,0.25,25%,0.0896,0.21112,15,207,222,370.5
1217,2011-02-23,1,0,2,18,0,3,1,1,0.32,0.3333,0.26,26%,0.0896,0.19712,3,206,209,321.0
1218,2011-02-23,1,0,2,19,0,3,1,1,0.3,0.3333,0.33,33%,0.0,0.21,6,135,141,226.5
1219,2011-02-23,1,0,2,20,0,3,1,1,0.24,0.2424,0.6,60%,0.1642,0.11873999999999998,2,107,109,168.5
1220,2011-02-23,1,0,2,21,0,3,1,1,0.24,0.2879,0.48,48%,0.0,0.16799999999999998,2,89,91,141.5
1221,2011-02-23,1,0,2,22,0,3,1,1,0.24,0.2879,0.48,48%,0.0,0.16799999999999998,1,60,61,94.0
1222,2011-02-23,1,0,2,23,0,3,1,1,0.22,0.2576,0.55,55%,0.0896,0.12712,1,38,39,61.0
1223,2011-02-24,1,0,2,0,0,4,1,1,0.22,0.2576,0.55,55%,0.0896,0.12712,0,11,11,16.5
1224,2011-02-24,1,0,2,1,0,4,1,1,0.22,0.2576,0.6,60%,0.0896,0.12712,0,7,7,10.5
1225,2011-02-24,1,0,2,2,0,4,1,1,0.2,0.2273,0.64,64%,0.0896,0.11311999999999998,0,4,4,6.0
1226,2011-02-24,1,0,2,3,0,4,1,1,0.2,0.2121,0.64,64%,0.1343,0.09971,0,2,2,3.0
1227,2011-02-24,1,0,2,5,0,4,1,1,0.2,0.2121,0.69,69%,0.1343,0.09971,1,3,4,8.5
1228,2011-02-24,1,0,2,6,0,4,1,1,0.2,0.197,0.69,69%,0.194,0.08179999999999998,0,58,58,87.0
1229,2011-02-24,1,0,2,7,0,4,1,1,0.2,0.197,0.72,72%,0.194,0.08179999999999998,0,104,104,156.0
1230,2011-02-24,1,0,2,8,0,4,1,1,0.24,0.2273,0.7,70%,0.2239,0.10082999999999999,8,244,252,398.0
1231,2011-02-24,1,0,2,9,0,4,1,2,0.24,0.2121,0.75,75%,0.2985,0.07844999999999999,4,133,137,215.5
1232,2011-02-24,1,0,2,10,0,4,1,2,0.26,0.2424,0.7,70%,0.2836,0.09691999999999999,8,49,57,105.5
1233,2011-02-24,1,0,2,11,0,4,1,2,0.32,0.2879,0.57,56%,0.3881,0.10756999999999999,8,71,79,138.5
1234,2011-02-24,1,0,2,12,0,4,1,2,0.36,0.3333,0.53,53%,0.3582,0.14454,10,85,95,167.5
1235,2011-02-24,1,0,2,13,0,4,1,2,0.38,0.3939,0.54,54%,0.2985,0.17644999999999997,16,72,88,172.0
1236,2011-02-24,1,0,2,14,0,4,1,2,0.4,0.4091,0.5,50%,0.2985,0.19044999999999998,2,67,69,108.5
1237,2011-02-24,1,0,2,15,0,4,1,3,0.4,0.4091,0.54,54%,0.3881,0.16357,5,58,63,107.0
1238,2011-02-24,1,0,2,16,0,4,1,3,0.38,0.3939,0.62,62%,0.2836,0.18091999999999997,4,67,71,116.5
1239,2011-02-24,1,0,2,17,0,4,1,3,0.36,0.3485,0.66,66%,0.194,0.1938,9,168,177,288.0
1240,2011-02-24,1,0,2,18,0,4,1,2,0.34,0.303,0.87,87%,0.3284,0.13948,5,132,137,218.0
1241,2011-02-24,1,0,2,19,0,4,1,3,0.34,0.303,0.93,93%,0.2985,0.14845,3,112,115,180.0
1242,2011-02-24,1,0,2,20,0,4,1,2,0.34,0.303,0.93,93%,0.3582,0.13054,2,87,89,138.5
1243,2011-02-24,1,0,2,21,0,4,1,2,0.34,0.303,0.87,87%,0.3284,0.13948,7,76,83,142.0
1244,2011-02-24,1,0,2,22,0,4,1,3,0.34,0.3182,0.87,87%,0.2836,0.15292,5,50,55,95.0
1245,2011-02-24,1,0,2,23,0,4,1,2,0.32,0.303,0.93,93%,0.2239,0.15682999999999997,3,47,50,82.5
1246,2011-02-25,1,0,2,0,0,5,1,3,0.32,0.3485,0.93,93%,0.0,0.22399999999999998,1,8,9,16.0
1247,2011-02-25,1,0,2,1,0,5,1,2,0.32,0.3485,1.0,100%,0.0,0.22399999999999998,1,9,10,17.5
1248,2011-02-25,1,0,2,2,0,5,1,2,0.32,0.3485,1.0,100%,0.0,0.22399999999999998,0,3,3,4.5
1249,2011-02-25,1,0,2,3,0,5,1,2,0.32,0.3333,0.93,93%,0.1045,0.19265,1,1,2,5.5
1250,2011-02-25,1,0,2,5,0,5,1,2,0.32,0.3333,0.93,93%,0.1045,0.19265,1,5,6,11.5
1251,2011-02-25,1,0,2,6,0,5,1,3,0.34,0.3485,0.93,93%,0.0896,0.21112,0,11,11,16.5
1252,2011-02-25,1,0,2,7,0,5,1,3,0.34,0.3333,1.0,100%,0.1343,0.19771,1,34,35,55.0
1253,2011-02-25,1,0,2,8,0,5,1,3,0.36,0.3485,0.93,93%,0.1343,0.21171,3,70,73,117.0
1254,2011-02-25,1,0,2,9,0,5,1,3,0.34,0.303,0.93,93%,0.3582,0.13054,3,111,114,178.5
1255,2011-02-25,1,0,2,10,0,5,1,3,0.42,0.4242,0.94,94%,0.3284,0.19548,7,42,49,91.0
1256,2011-02-25,1,0,2,11,0,5,1,1,0.52,0.5,0.77,77%,0.4478,0.22966,9,50,59,111.0
1257,2011-02-25,1,0,2,12,0,5,1,3,0.54,0.5152,0.6,60%,0.4627,0.23919,20,95,115,222.5
1258,2011-02-25,1,0,2,13,0,5,1,3,0.54,0.5152,0.6,60%,0.4627,0.23919,6,77,83,139.5
1259,2011-02-25,1,0,2,14,0,5,1,3,0.56,0.5303,0.56,56%,0.6119,0.20843000000000003,14,71,85,162.5
1260,2011-02-25,1,0,2,15,0,5,1,1,0.46,0.4545,0.41,41%,0.806,0.0802,5,50,55,95.0
1261,2011-02-25,1,0,2,16,0,5,1,1,0.32,0.2879,0.49,49%,0.4627,0.08518999999999999,11,91,102,180.5
1262,2011-02-25,1,0,2,17,0,5,1,1,0.32,0.2727,0.49,49%,0.7463,0.00010999999999999899,8,181,189,303.5
1263,2011-02-25,1,0,2,18,0,5,1,1,0.32,0.2879,0.49,49%,0.4925,0.07624999999999998,7,150,157,253.0
1264,2011-02-25,1,0,2,19,0,5,1,1,0.3,0.2727,0.52,52%,0.4478,0.07566,4,86,90,145.0
1265,2011-02-25,1,0,2,20,0,5,1,1,0.3,0.2576,0.49,49%,0.6119,0.02643000000000001,2,60,62,98.0
1266,2011-02-25,1,0,2,21,0,5,1,1,0.28,0.2576,0.48,48%,0.3881,0.07957000000000002,7,56,63,112.0
1267,2011-02-25,1,0,2,22,0,5,1,1,0.26,0.2121,0.48,48%,0.4478,0.04766000000000001,7,43,50,92.5
1268,2011-02-25,1,0,2,23,0,5,1,1,0.26,0.2273,0.48,48%,0.3284,0.08347999999999998,2,37,39,63.5
1269,2011-02-26,1,0,2,0,0,6,0,1,0.24,0.2273,0.52,52%,0.194,0.10979999999999998,3,25,28,49.5
1270,2011-02-26,1,0,2,1,0,6,0,1,0.24,0.2121,0.52,52%,0.2985,0.07844999999999999,2,25,27,45.5
1271,2011-02-26,1,0,2,2,0,6,0,1,0.22,0.197,0.6,60%,0.3582,0.04654,3,9,12,25.5
1272,2011-02-26,1,0,2,3,0,6,0,1,0.22,0.2273,0.55,55%,0.1343,0.11371,1,7,8,14.5
1273,2011-02-26,1,0,2,4,0,6,0,2,0.22,0.2576,0.6,60%,0.0896,0.12712,1,1,2,5.5
1274,2011-02-26,1,0,2,5,0,6,0,2,0.22,0.2424,0.64,64%,0.1045,0.12265000000000001,1,9,10,17.5
1275,2011-02-26,1,0,2,6,0,6,0,1,0.22,0.2727,0.6,60%,0.0,0.154,1,6,7,13.0
1276,2011-02-26,1,0,2,7,0,6,0,1,0.22,0.2576,0.6,60%,0.0896,0.12712,1,21,22,35.5
1277,2011-02-26,1,0,2,8,0,6,0,2,0.24,0.2879,0.6,60%,0.0,0.16799999999999998,2,55,57,90.5
1278,2011-02-26,1,0,2,9,0,6,0,2,0.26,0.2576,0.56,56%,0.1642,0.13274,9,65,74,133.5
1279,2011-02-26,1,0,2,10,0,6,0,2,0.3,0.303,0.49,49%,0.1343,0.16971,14,71,85,162.5
1280,2011-02-26,1,0,2,11,0,6,0,1,0.3,0.3333,0.45,45%,0.0,0.21,26,100,126,254.0
1281,2011-02-26,1,0,2,12,0,6,0,2,0.32,0.3182,0.45,45%,0.1642,0.17473999999999998,45,115,160,352.5
1282,2011-02-26,1,0,2,13,0,6,0,2,0.34,0.3182,0.42,42%,0.2537,0.16188999999999998,38,136,174,356.0
1283,2011-02-26,1,0,2,14,0,6,0,2,0.34,0.303,0.36,36%,0.3284,0.13948,57,154,211,459.0
1284,2011-02-26,1,0,2,15,0,6,0,2,0.36,0.3333,0.4,40%,0.2836,0.16692,40,125,165,347.5
1285,2011-02-26,1,0,2,16,0,6,0,1,0.36,0.3333,0.46,46%,0.2836,0.16692,41,130,171,359.0
1286,2011-02-26,1,0,2,17,0,6,0,1,0.36,0.3485,0.43,43%,0.2239,0.18483,53,130,183,407.0
1287,2011-02-26,1,0,2,18,0,6,0,1,0.34,0.3333,0.46,46%,0.194,0.1798,26,111,137,270.5
1288,2011-02-26,1,0,2,19,0,6,0,1,0.32,0.303,0.49,49%,0.2537,0.14788999999999997,30,64,94,216.0
1289,2011-02-26,1,0,2,20,0,6,0,1,0.3,0.303,0.56,56%,0.1642,0.16074,8,60,68,122.0
1290,2011-02-26,1,0,2,21,0,6,0,1,0.28,0.2727,0.65,65%,0.2537,0.11989000000000001,9,59,68,124.5
1291,2011-02-26,1,0,2,22,0,6,0,1,0.28,0.2727,0.75,75%,0.2239,0.12883,8,38,46,89.0
1292,2011-02-26,1,0,2,23,0,6,0,1,0.28,0.2576,0.75,75%,0.2836,0.11092,5,29,34,63.5
1293,2011-02-27,1,0,2,0,0,0,0,1,0.26,0.2424,0.87,87%,0.2836,0.09691999999999999,8,26,34,71.0
1294,2011-02-27,1,0,2,1,0,0,0,1,0.26,0.2576,0.87,87%,0.194,0.1238,7,30,37,73.0
1295,2011-02-27,1,0,2,2,0,0,0,1,0.26,0.2727,0.87,87%,0.1343,0.14171,2,20,22,38.0
1296,2011-02-27,1,0,2,3,0,0,0,1,0.26,0.2879,0.87,87%,0.0896,0.15512,3,8,11,24.0
1297,2011-02-27,1,0,2,4,0,0,0,1,0.24,0.2424,0.87,87%,0.1343,0.12771,0,2,2,3.0
1298,2011-02-27,1,0,2,6,0,0,0,1,0.24,0.2879,0.87,87%,0.0,0.16799999999999998,2,1,3,9.5
1299,2011-02-27,1,0,2,7,0,0,0,1,0.24,0.2424,0.87,87%,0.1343,0.12771,6,8,14,36.0
1300,2011-02-27,1,0,2,8,0,0,0,1,0.26,0.303,0.87,87%,0.0,0.182,9,26,35,75.0
1301,2011-02-27,1,0,2,9,0,0,0,1,0.28,0.303,0.87,87%,0.0896,0.16912000000000002,17,42,59,131.0
1302,2011-02-27,1,0,2,10,0,0,0,1,0.3,0.303,0.81,81%,0.1642,0.16074,24,79,103,214.5
1303,2011-02-27,1,0,2,11,0,0,0,1,0.36,0.3485,0.62,62%,0.1343,0.21171,33,92,125,270.0
1304,2011-02-27,1,0,2,12,0,0,0,1,0.4,0.4091,0.54,54%,0.0896,0.25311999999999996,61,132,193,442.0
1305,2011-02-27,1,0,2,13,0,0,0,1,0.42,0.4242,0.47,47%,0.0,0.294,90,169,259,613.5
1306,2011-02-27,1,0,2,14,0,0,0,1,0.44,0.4394,0.47,47%,0.0896,0.28112,105,177,282,685.5
1307,2011-02-27,1,0,2,15,0,0,0,1,0.46,0.4545,0.44,44%,0.1343,0.28171,98,163,261,636.5
1308,2011-02-27,1,0,2,16,0,0,0,1,0.48,0.4697,0.44,44%,0.1642,0.28673999999999994,98,170,268,647.0
1309,2011-02-27,1,0,2,17,0,0,0,1,0.42,0.4242,0.54,54%,0.194,0.23579999999999998,66,121,187,445.5
1310,2011-02-27,1,0,2,18,0,0,0,1,0.4,0.4091,0.54,54%,0.194,0.22179999999999997,24,103,127,250.5
1311,2011-02-27,1,0,2,19,0,0,0,1,0.4,0.4091,0.54,54%,0.1343,0.23970999999999998,16,86,102,193.0
1312,2011-02-27,1,0,2,20,0,0,0,1,0.4,0.4091,0.54,54%,0.0896,0.25311999999999996,9,72,81,144.0
1313,2011-02-27,1,0,2,21,0,0,0,1,0.38,0.3939,0.62,62%,0.1642,0.21673999999999996,8,61,69,123.5
1314,2011-02-27,1,0,2,22,0,0,0,2,0.38,0.3939,0.62,62%,0.1045,0.23464999999999997,2,67,69,108.5
1315,2011-02-27,1,0,2,23,0,0,0,2,0.36,0.3485,0.62,62%,0.1642,0.20274,6,53,59,103.5
1316,2011-02-28,1,0,2,0,0,1,1,2,0.36,0.3636,0.66,66%,0.1045,0.22065,5,25,30,57.5
1317,2011-02-28,1,0,2,1,0,1,1,3,0.34,0.303,0.87,87%,0.3582,0.13054,1,7,8,14.5
1318,2011-02-28,1,0,2,3,0,1,1,3,0.32,0.3182,0.93,93%,0.1642,0.17473999999999998,0,1,1,1.5
1319,2011-02-28,1,0,2,5,0,1,1,2,0.34,0.3636,0.93,93%,0.0,0.238,1,4,5,10.0
1320,2011-02-28,1,0,2,6,0,1,1,2,0.34,0.3485,0.96,96%,0.1045,0.20665,1,27,28,44.5
1321,2011-02-28,1,0,2,7,0,1,1,2,0.36,0.3636,0.93,93%,0.1045,0.22065,2,90,92,143.0
1322,2011-02-28,1,0,2,8,0,1,1,2,0.34,0.303,0.93,93%,0.2985,0.14845,13,242,255,415.0
1323,2011-02-28,1,0,2,9,0,1,1,1,0.42,0.4242,0.82,82%,0.2836,0.20892,15,127,142,250.5
1324,2011-02-28,1,0,2,10,0,1,1,2,0.52,0.5,0.72,72%,0.4925,0.21625,13,79,92,170.5
1325,2011-02-28,1,0,2,11,0,1,1,2,0.56,0.5303,0.64,64%,0.2985,0.30245,13,74,87,163.0
1326,2011-02-28,1,0,2,12,0,1,1,2,0.56,0.5303,0.64,64%,0.2985,0.30245,0,36,36,54.0
1327,2011-02-28,1,0,2,13,0,1,1,3,0.46,0.4545,0.94,94%,0.2239,0.25483,1,31,32,50.5
1328,2011-02-28,1,0,2,14,0,1,1,3,0.42,0.4242,1.0,100%,0.2985,0.20445,1,24,25,40.0
1329,2011-02-28,1,0,2,15,0,1,1,3,0.42,0.4242,1.0,100%,0.2985,0.20445,0,35,35,52.5
1330,2011-02-28,1,0,2,16,0,1,1,3,0.42,0.4242,1.0,100%,0.1343,0.25371,2,40,42,68.0
1331,2011-02-28,1,0,2,17,0,1,1,3,0.4,0.4091,1.0,100%,0.2985,0.19044999999999998,2,77,79,123.5
1332,2011-02-28,1,0,2,18,0,1,1,3,0.46,0.4545,0.94,94%,0.194,0.26380000000000003,4,127,131,206.5
1333,2011-02-28,1,0,2,19,0,1,1,3,0.44,0.4394,0.88,88%,0.6119,0.12443000000000001,1,79,80,122.5
1334,2011-02-28,1,0,2,20,0,1,1,3,0.44,0.4394,0.88,88%,0.6119,0.12443000000000001,0,45,45,67.5
1335,2011-02-28,1,0,2,21,0,1,1,2,0.38,0.3939,0.87,87%,0.3881,0.14956999999999998,2,78,80,125.0
1336,2011-02-28,1,0,2,22,0,1,1,3,0.34,0.303,0.93,93%,0.4179,0.11263000000000001,4,72,76,124.0
1337,2011-02-28,1,0,2,23,0,1,1,2,0.32,0.2879,0.81,81%,0.3881,0.10756999999999999,0,45,45,67.5
1338,2011-03-01,1,0,3,0,0,2,1,1,0.3,0.2727,0.7,70%,0.4627,0.07119,0,7,7,10.5
1339,2011-03-01,1,0,3,1,0,2,1,1,0.26,0.2273,0.7,70%,0.3582,0.07454,0,3,3,4.5
1340,2011-03-01,1,0,3,2,0,2,1,1,0.24,0.2121,0.65,65%,-0.3881,0.05156999999999999,0,4,4,6.0
1341,2011-03-01,1,0,3,3,0,2,1,1,0.22,0.2121,0.69,69%,0.2836,0.06892,0,2,2,3.0
1342,2011-03-01,1,0,3,4,0,2,1,1,0.22,0.2121,0.69,69%,0.2537,0.07789,0,1,1,1.5
1343,2011-03-01,1,0,3,5,0,2,1,1,0.2,0.1818,0.64,64%,0.2836,0.05491999999999998,1,1,2,5.5
1344,2011-03-01,1,0,3,6,0,2,1,1,0.2,0.1818,0.59,59%,0.2985,0.050449999999999995,0,46,46,69.0
1345,2011-03-01,1,0,3,7,0,2,1,1,0.2,0.1818,0.59,59%,0.3284,0.041479999999999975,2,105,107,165.5
1346,2011-03-01,1,0,3,8,0,2,1,1,0.2,0.1818,0.59,59%,0.3881,0.023569999999999994,10,204,214,346.0
1347,2011-03-01,1,0,3,9,0,2,1,1,0.22,0.197,0.55,55%,0.4179,0.028630000000000017,8,116,124,206.0
1348,2011-03-01,1,0,3,10,0,2,1,1,0.24,0.2121,0.52,52%,0.2836,0.08291999999999998,13,55,68,134.5
1349,2011-03-01,1,0,3,11,0,2,1,1,0.28,0.2727,0.45,45%,0.2537,0.11989000000000001,8,48,56,104.0
1350,2011-03-01,1,0,3,12,0,2,1,1,0.3,0.303,0.39,39%,0.1343,0.16971,6,80,86,144.0
1351,2011-03-01,1,0,3,13,0,2,1,1,0.32,0.3485,0.39,39%,0.0,0.22399999999999998,13,65,78,149.5
1352,2011-03-01,1,0,3,14,0,2,1,1,0.32,0.3333,0.36,36%,0.1343,0.18370999999999998,18,61,79,163.5
1353,2011-03-01,1,0,3,15,0,2,1,1,0.34,0.3636,0.34,34%,0.0,0.238,7,57,64,113.5
1354,2011-03-01,1,0,3,16,0,2,1,1,0.34,0.3485,0.34,34%,0.0896,0.21112,10,92,102,178.0
1355,2011-03-01,1,0,3,17,0,2,1,1,0.34,0.3485,0.34,34%,0.0896,0.21112,12,230,242,393.0
1356,2011-03-01,1,0,3,18,0,2,1,1,,0.3182,0.39,39%,0.194,,10,214,224,361.0
1357,2011-03-01,1,0,3,19,0,2,1,1,0.3,0.303,0.49,49%,0.1343,0.16971,4,115,119,188.5
1358,2011-03-01,1,0,3,20,0,2,1,1,0.3,0.3182,0.61,61%,0.0896,0.18312,2,86,88,137.0
1359,2011-03-01,1,0,3,21,0,2,1,1,0.26,0.303,0.56,56%,0.0,0.182,8,55,63,114.5
1360,2011-03-01,1,0,3,22,0,2,1,1,0.24,0.2727,0.62,62%,0.1045,0.13665,3,44,47,78.0
1361,2011-03-01,1,0,3,23,0,2,1,1,0.24,0.2273,0.65,65%,0.2239,0.10082999999999999,2,23,25,42.5
1362,2011-03-02,1,0,3,0,0,3,1,1,0.22,0.2273,0.69,69%,0.1642,0.10474,3,5,8,19.5
1363,2011-03-02,1,0,3,1,0,3,1,1,0.22,0.2273,0.69,69%,0.194,0.0958,0,4,4,6.0
1364,2011-03-02,1,0,3,2,0,3,1,1,0.22,0.2273,0.69,69%,0.194,0.0958,0,2,2,3.0
1365,2011-03-02,1,0,3,3,0,3,1,1,0.22,0.2121,0.69,69%,0.2836,0.06892,3,1,4,13.5
1366,2011-03-02,1,0,3,4,0,3,1,1,0.2,0.2121,0.75,75%,0.1343,0.09971,1,0,1,4.0
1367,2011-03-02,1,0,3,5,0,3,1,1,0.22,0.2121,0.69,69%,0.2239,0.08683,0,5,5,7.5
1368,2011-03-02,1,0,3,6,0,3,1,1,0.22,0.2121,0.55,55%,0.2537,0.07789,1,39,40,62.5
1369,2011-03-02,1,0,3,7,0,3,1,1,0.22,0.2121,0.64,64%,0.2537,0.07789,2,108,110,170.0
1370,2011-03-02,1,0,3,8,0,3,1,1,0.24,0.2121,0.65,65%,0.2836,0.08291999999999998,13,243,256,416.5
1371,2011-03-02,1,0,3,9,0,3,1,1,0.28,0.2576,0.56,56%,0.2985,0.10645000000000002,7,141,148,239.5
1372,2011-03-02,1,0,3,10,0,3,1,1,0.32,0.303,0.49,49%,0.2836,0.13892,11,65,76,141.5
1373,2011-03-02,1,0,3,11,0,3,1,1,0.34,0.303,0.53,53%,0.3284,0.13948,8,65,73,129.5
1374,2011-03-02,1,0,3,12,0,3,1,1,0.4,0.4091,0.43,43%,0.194,0.22179999999999997,20,62,82,173.0
1375,2011-03-02,1,0,3,13,0,3,1,1,0.5,0.4848,0.25,25%,0.0,0.35,35,90,125,275.0
1376,2011-03-02,1,0,3,14,0,3,1,1,0.52,0.5,0.23,23%,0.2985,0.27444999999999997,21,75,96,196.5
1377,2011-03-02,1,0,3,15,0,3,1,1,0.54,0.5152,0.19,19%,0.4179,0.25263,19,91,110,212.5
1378,2011-03-02,1,0,3,16,0,3,1,1,0.54,0.5152,0.19,19%,0.3284,0.27948,27,112,139,276.0
1379,2011-03-02,1,0,3,17,0,3,1,1,0.5,0.4848,0.23,23%,0.2836,0.26492,30,238,268,477.0
1380,2011-03-02,1,0,3,18,0,3,1,1,0.46,0.4545,0.23,23%,0.4925,0.17425000000000002,8,193,201,321.5
1381,2011-03-02,1,0,3,19,0,3,1,1,0.4,0.4091,0.28,28%,0.5224,0.12327999999999997,6,144,150,240.0
1382,2011-03-02,1,0,3,20,0,3,1,1,0.36,0.3333,0.29,28%,0.4179,0.12663000000000002,9,86,95,165.0
1383,2011-03-02,1,0,3,21,0,3,1,1,0.34,0.2879,0.29,28%,0.4627,0.09919,3,68,71,114.0
1384,2011-03-02,1,0,3,22,0,3,1,1,0.3,0.2576,0.26,26%,0.5522,0.04433999999999999,4,44,48,82.0
1385,2011-03-02,1,0,3,23,0,3,1,1,0.26,0.2121,0.3,30%,0.5224,0.025279999999999997,0,22,22,33.0
1386,2011-03-03,1,0,3,0,0,4,1,1,0.24,0.197,0.3,30%,0.4627,0.029189999999999994,3,10,13,27.0
1387,2011-03-03,1,0,3,1,0,4,1,1,0.24,0.197,0.3,30%,0.4627,0.029189999999999994,0,1,1,1.5
1388,2011-03-03,1,0,3,2,0,4,1,1,0.2,0.1667,0.27,27%,0.4627,0.0011899999999999966,1,2,3,7.0
1389,2011-03-03,1,0,3,3,0,4,1,1,0.2,0.1667,0.27,27%,0.4627,0.0011899999999999966,0,1,1,1.5
1390,2011-03-03,1,0,3,4,0,4,1,1,0.16,0.1212,0.31,31%,0.4925,-0.035750000000000004,0,1,1,1.5
1391,2011-03-03,1,0,3,5,0,4,1,1,0.14,0.1212,0.33,33%,0.2985,0.008450000000000013,1,7,8,14.5
1392,2011-03-03,1,0,3,6,0,4,1,1,0.14,0.1212,0.33,33%,0.2985,0.008450000000000013,1,34,35,55.0
1393,2011-03-03,1,0,3,7,0,4,1,1,0.12,0.0909,0.42,42%,0.4179,-0.04136999999999999,1,110,111,169.0
1394,2011-03-03,1,0,3,8,0,4,1,1,0.14,0.1212,0.39,39%,0.2985,0.008450000000000013,4,216,220,340.0
1395,2011-03-03,1,0,3,9,0,4,1,1,0.16,0.1364,0.37,37%,0.2836,0.026919999999999986,10,135,145,242.5
1396,2011-03-03,1,0,3,10,0,4,1,1,0.18,0.1818,0.29,28%,0.194,0.0678,7,49,56,101.5
1397,2011-03-03,1,0,3,11,0,4,1,1,0.2,0.2273,0.29,28%,0.0896,0.11311999999999998,10,40,50,100.0
1398,2011-03-03,1,0,3,12,0,4,1,1,0.22,0.2273,0.25,25%,0.1343,0.11371,7,65,72,125.5
1399,2011-03-03,1,0,3,13,0,4,1,1,0.22,0.2576,0.25,25%,0.0896,0.12712,13,67,80,152.5
1400,2011-03-03,1,0,3,14,0,4,1,1,0.24,0.2576,0.21,21%,0.1045,0.13665,18,60,78,162.0
1401,2011-03-03,1,0,3,15,0,4,1,1,0.24,0.2879,0.23,23%,0.0,0.16799999999999998,6,62,68,117.0
1402,2011-03-03,1,0,3,16,0,4,1,1,0.26,0.303,0.23,23%,0.0,0.182,6,65,71,121.5
1403,2011-03-03,1,0,3,17,0,4,1,1,0.26,0.303,0.22,22%,0.0,0.182,17,185,202,345.5
1404,2011-03-03,1,0,3,18,0,4,1,1,0.24,0.2121,0.35,35%,0.3284,0.06947999999999997,6,161,167,265.5
